match_card_id,team,match_date,core_GK,momentum_GK,starter_count_GK,available_count_GK,core_DF,momentum_DF,starter_count_DF,available_count_DF,core_MF,momentum_MF,starter_count_MF,available_count_MF,core_FW,momentum_FW,starter_count_FW,available_count_FW
25040,北海道コンサドーレ札幌,,0.5,0.4,1,0,0.611981,0.576296,3,3,0.744219,0.687729,6,6,0.694074,0.647358,1,2
25041,浦和レッズ,,0.5,0.5,1,1,0.666111,0.665667,4,4,0.592897,0.499615,5,5,0.483364,0.352432,1,1
25041,鹿島アントラーズ,,0.5,0.5,1,1,0.665583,0.650767,4,3,0.524514,0.444267,4,3,0.625972,0.519759,2,2
25042,大分トリニータ,,0.5,0.4275,1,1,0.687556,0.601828,3,3,0.734144,0.659954,5,5,0.533667,0.4428,2,3
25042,川崎フロンターレ,,0.0,0.0,1,0,0.620972,0.601478,4,3,0.771227,0.704231,3,5,0.568111,0.472756,3,2
25043,徳島ヴォルティス,,0.5,0.5,1,1,0.654826,0.54484,3,2,0.667382,0.619557,5,7,0.745463,0.658926,2,2
25043,清水エスパルス,,0.5,0.5,1,1,0.570667,0.5448,4,2,0.645642,0.580118,4,4,0.815278,0.737667,2,3
25044,柏レイソル,,0.5,0.5,1,1,0.665509,0.60413,4,4,0.750563,0.680164,4,4,0.727778,0.631222,2,3
25044,鹿島アントラーズ,,0.5,0.5,1,1,0.877743,0.863882,4,4,0.677423,0.57292,4,6,0.651142,0.575562,2,2
25045,FC東京,,0.605,0.56,1,1,0.635556,0.605911,4,2,0.664213,0.597509,3,4,0.750917,0.6647,3,4
25045,北海道コンサドーレ札幌,,0.3025,0.305,1,1,0.635528,0.597989,3,3,0.72108,0.65629,6,6,0.916597,0.886194,1,2
25046,サガン鳥栖,,0.5,0.5,1,1,0.485833,0.44,3,2,0.67787,0.597759,4,4,0.800417,0.7375,3,5
25046,川崎フロンターレ,,0.13,0.16,1,0,0.786472,0.752478,4,4,0.737083,0.662722,3,5,0.490778,0.360722,3,1
25047,サンフレッチェ広島,,0.5,0.5,1,1,0.932465,0.916764,4,4,0.589877,0.479577,5,4,0.62838,0.521759,1,2
25047,横浜FC,,0.3025,0.305,1,1,0.749222,0.730844,4,4,0.572583,0.477567,3,1,0.671782,0.558176,3,3
25048,名古屋グランパス,,0.5,0.5,1,1,0.804514,0.748917,4,4,0.737639,0.666861,2,3,0.64206,0.561954,4,3
25048,湘南ベルマーレ,,0.5,0.5,1,1,0.747861,0.690189,3,4,0.736508,0.654635,5,5,0.66,0.554167,2,2
25049,浦和レッズ,,0.5,0.5,1,1,0.799074,0.78137,4,5,0.63381,0.550476,5,5,0.504259,0.370824,1,1
25049,清水エスパルス,,0.5,0.5,1,1,0.742963,0.704148,4,4,0.558353,0.481933,4,3,0.650093,0.532407,2,2
25050,アビスパ福岡,,0.5,0.5,1,1,0.692877,0.617611,4,4,0.571786,0.471095,4,3,0.776111,0.666389,2,2
25050,ガンバ大阪,,0.5,0.5,1,1,0.706139,0.660278,3,4,0.6924,0.607429,5,4,0.602537,0.479785,2,2
25051,ヴィッセル神戸,,0.5,0.5,1,1,0.671071,0.621929,4,4,0.689815,0.615102,4,4,0.734074,0.670148,2,2
25051,大分トリニータ,,0.5,0.4275,1,1,0.76812,0.678713,4,4,0.787189,0.712839,4,6,0.627153,0.523556,2,2
25052,ベガルタ仙台,,0.5,0.5,1,1,0.721019,0.624593,4,5,0.50123,0.455651,4,3,0.631296,0.532704,2,2
25052,徳島ヴォルティス,,0.5,0.5,1,1,0.650139,0.540111,3,2,0.69625,0.60137,5,5,0.744306,0.657722,2,2
25053,セレッソ大阪,,0.5,0.5,1,1,0.333333,0.333333,4,2,0.597556,0.558444,4,2,0.322528,0.203333,2,1
25053,横浜F・マリノス,,0.235,0.27,1,0,0.636435,0.577051,4,4,0.698583,0.6027,3,4,0.759389,0.681911,3,4
25054,サンフレッチェ広島,,0.5,0.5,1,1,0.451528,0.421856,4,2,0.566875,0.485417,5,4,0.592824,0.480204,1,1
25054,湘南ベルマーレ,,0.5,0.5,1,1,0.694514,0.630278,3,2,0.664444,0.597736,5,5,0.594537,0.442,2,2
25055,北海道コンサドーレ札幌,,0.32125,0.3425,1,1,0.691278,0.622889,3,3,0.684985,0.612006,6,6,0.935,0.891667,1,2
25055,鹿島アントラーズ,,0.5,0.5,1,1,0.899896,0.895625,4,4,0.66,0.536944,4,6,0.670509,0.612602,2,2
25056,ベガルタ仙台,,0.5,0.5,1,1,0.789005,0.726495,4,4,0.647593,0.546241,4,3,0.706597,0.612861,2,3
25056,横浜F・マリノス,,0.3275,0.355,1,1,0.830333,0.813133,4,5,0.735872,0.635207,3,5,0.738361,0.655789,3,3
25057,FC東京,,0.5925,0.485,1,1,0.695861,0.687789,4,4,0.525536,0.388702,4,3,0.76875,0.692667,2,3
25057,川崎フロンターレ,,0.235,0.27,1,0,0.81,0.766467,4,4,0.629977,0.535111,3,3,0.599889,0.495778,3,3
25058,ヴィッセル神戸,,0.5,0.5,1,1,0.665847,0.596471,4,4,0.698943,0.620645,4,4,0.560787,0.41713,2,1
25058,清水エスパルス,,0.5,0.5,1,1,0.748287,0.715907,4,4,0.59267,0.541154,4,3,0.518646,0.439208,2,1
25059,サガン鳥栖,,0.5,0.5,1,1,0.776806,0.716611,4,4,0.756052,0.70627,4,6,0.469444,0.307639,2,1
25059,横浜FC,,0.32125,0.3425,1,1,0.820083,0.797083,4,5,0.635417,0.542354,5,4,0.62963,0.492481,1,2
25060,名古屋グランパス,,0.5,0.5,1,1,0.652407,0.615301,4,4,0.658194,0.561222,2,2,0.674051,0.594491,4,4
25060,大分トリニータ,,0.5,0.5,1,1,0.745394,0.690523,3,4,0.748264,0.653403,6,6,0.538264,0.376028,1,1
25061,徳島ヴォルティス,,0.5,0.5,1,1,0.671701,0.566653,3,3,0.693102,0.60537,5,5,0.735046,0.640426,2,2
25061,浦和レッズ,,0.5,0.5,1,1,0.773519,0.746981,4,5,0.668492,0.604508,5,3,0.502948,0.366265,1,1
25062,ガンバ大阪,,0.5,0.5,1,1,0.641889,0.561178,4,3,0.781204,0.710519,3,6,0.570944,0.433239,3,2
25062,柏レイソル,,0.5,0.5,1,1,0.654583,0.626583,3,3,0.664323,0.567125,5,4,0.804965,0.717514,2,3
25063,アビスパ福岡,,0.5,0.5,1,1,0.750208,0.684583,4,4,0.636968,0.520491,4,3,0.798877,0.724241,2,4
25063,セレッソ大阪,,0.5,0.5,1,1,0.586389,0.606167,4,3,0.647972,0.625028,4,3,0.515444,0.442322,2,2
25064,北海道コンサドーレ札幌,,0.3275,0.355,1,1,0.656972,0.606678,3,3,0.784151,0.698395,6,7,0.8175,0.758333,1,2
25064,横浜F・マリノス,,0.41375,0.4275,1,1,0.672809,0.631988,4,4,0.620301,0.484769,3,3,0.692708,0.6015,3,2
25065,ベガルタ仙台,,0.5,0.5,1,1,0.756181,0.709361,4,5,0.757194,0.676656,4,4,0.644333,0.525333,2,3
25065,横浜FC,,0.64875,0.6975,1,2,0.808704,0.752491,4,5,0.63588,0.558259,4,4,0.625069,0.500472,2,3
25066,徳島ヴォルティス,,0.5,0.5,1,1,0.621146,0.568208,3,2,0.702764,0.637561,6,7,0.414514,0.249194,1,0
25066,鹿島アントラーズ,,0.5,0.5,1,1,0.734537,0.728421,4,5,0.554603,0.407159,4,3,0.591296,0.507241,2,2
25067,FC東京,,0.58625,0.4275,1,1,0.861556,0.858044,4,5,0.638889,0.554028,3,3,0.712,0.602333,3,3
25067,アビスパ福岡,,0.5,0.5,1,1,0.651944,0.600111,4,4,0.521389,0.432278,4,2,0.713183,0.618206,2,3
25068,大分トリニータ,,0.5,0.5,1,1,0.805671,0.751856,3,5,0.747031,0.673135,6,7,0.562222,0.422944,1,0
25068,柏レイソル,,0.5,0.5,1,1,0.9375,0.908875,3,4,0.52099,0.421576,5,4,0.543287,0.380269,2,1
25069,ヴィッセル神戸,,0.5,0.5,1,1,0.72294,0.696755,4,4,0.750159,0.680258,5,5,0.505926,0.451519,1,1
25069,湘南ベルマーレ,,0.5,0.5,1,1,0.707535,0.657903,3,2,0.741823,0.697313,5,6,0.57375,0.461972,2,2
25070,サンフレッチェ広島,,0.5,0.5,1,1,0.943139,0.923611,4,5,0.68591,0.613117,5,6,0.400903,0.228972,1,0
25070,川崎フロンターレ,,0.8275,0.855,1,2,0.788667,0.764,4,4,0.485208,0.396639,3,2,0.624861,0.529539,3,3
25071,サガン鳥栖,,0.5,0.5,1,1,0.7175,0.675733,3,3,0.800747,0.733796,5,6,0.398889,0.344194,2,2
25071,名古屋グランパス,,0.5,0.5,1,1,0.675972,0.631944,4,4,0.62125,0.545667,3,2,0.697801,0.621213,3,4
25072,ガンバ大阪,,0.5,0.5,1,1,0.575806,0.512211,4,3,0.749312,0.678466,3,6,0.60191,0.494236,3,2
25072,清水エスパルス,,0.5,0.5,1,1,0.661481,0.580824,4,4,0.559491,0.498815,4,3,0.66809,0.560431,2,2
25073,セレッソ大阪,,0.5,0.5,1,1,0.613148,0.609685,4,3,0.682611,0.666356,4,4,0.538972,0.426911,2,2
25073,浦和レッズ,,0.5,0.5,1,1,0.742269,0.70087,4,4,0.615,0.514333,4,3,0.640313,0.535375,2,3
25074,セレッソ大阪,,0.5,0.5,1,1,0.786551,0.785532,4,5,0.771944,0.729847,4,5,0.421354,0.339458,2,1
