match_card_id,match_date,kickoff_time,stadium,attendance,weather,temperature_c,humidity_pct,home_team,away_team,home_score,away_score,home_first_half_score,away_first_half_score,home_second_half_score,away_second_half_score,home_coach,away_coach,regulation_minutes,source_html
25021,2021/03/17,19:03,ニッパツ三ツ沢球技場,4787,晴,12.3,32.0,横浜F・マリノス,徳島ヴォルティス,1,0,1,0,0,0,アンジェ ポステコグルー,,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25021.html
25022,2021/03/17,19:03,ヤンマースタジアム長居,5230,晴,9.7,47.0,セレッソ大阪,大分トリニータ,1,0,0,0,1,0,レヴィー クルピ,片野坂 知宏,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25022.html
25023,2021/03/17,19:03,駅前不動産スタジアム,5119,晴,14.1,52.0,サガン鳥栖,柏レイソル,2,0,1,0,1,0,金 明輝,ネルシーニョ,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25023.html
25024,2021/03/20,14:03,札幌ドーム,9512,屋内,22.1,29.0,北海道コンサドーレ札幌,ヴィッセル神戸,3,4,2,0,1,4,ペトロヴィッチ,三浦 淳寛,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25024.html
25025,2021/03/21,13:03,味の素スタジアム,4402,雨のち曇,20.1,82.0,FC東京,ベガルタ仙台,2,1,2,1,0,0,長谷川 健太,手倉森 誠,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25025.html
25026,2021/08/06,19:03,パナソニック スタジアム 吹田,4459,晴一時雨,26.4,88.0,ガンバ大阪,横浜F・マリノス,2,3,0,1,2,2,松波 正信,ケヴィン マスカット,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25026.html
25027,2021/03/21,14:03,鳴門・大塚スポーツパーク ポカリスエットスタジアム,5180,曇のち雨,15.6,67.0,徳島ヴォルティス,横浜FC,2,1,1,0,1,1,,下平 隆宏,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25027.html
25028,2021/03/21,14:03,駅前不動産スタジアム,9631,曇のち晴,17.3,52.0,サガン鳥栖,アビスパ福岡,0,0,0,0,0,0,金 明輝,長谷部 茂利,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25028.html
25029,2021/03/21,14:03,昭和電工ドーム大分,6231,屋内,15.2,71.0,大分トリニータ,サンフレッチェ広島,1,3,0,0,1,3,片野坂 知宏,城福 浩,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25029.html
25030,2021/03/21,15:04,埼玉スタジアム2002,4679,雨,19.7,90.0,浦和レッズ,川崎フロンターレ,0,5,0,1,0,4,リカルド ロドリゲス,鬼木 達,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25030.html
25031,2021/03/21,15:01,レモンガススタジアム平塚,3585,雨,18.8,90.0,湘南ベルマーレ,セレッソ大阪,0,0,0,0,0,0,浮嶋 敏,レヴィー クルピ,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25031.html
25032,2021/03/21,16:03,県立カシマサッカースタジアム,7809,雨,19.1,84.0,鹿島アントラーズ,名古屋グランパス,0,1,0,0,0,1,ザーゴ,マッシモ フィッカデンティ,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25032.html
25033,2021/03/21,16:03,三協フロンテア柏スタジアム,3236,雨,19.5,89.0,柏レイソル,清水エスパルス,1,2,0,2,1,0,ネルシーニョ,ロティーナ,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25033.html
25034,2021/04/02,19:03,ヤンマースタジアム長居,7014,曇,18.8,42.0,セレッソ大阪,サガン鳥栖,1,0,0,0,1,0,レヴィー クルピ,金 明輝,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25034.html
25035,2021/04/03,13:03,日産スタジアム,9152,晴,20.7,30.0,横浜F・マリノス,湘南ベルマーレ,1,1,0,0,1,1,アンジェ ポステコグルー,浮嶋 敏,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25035.html
25036,2021/04/03,14:03,ユアテックスタジアム仙台,4619,晴,17.6,46.0,ベガルタ仙台,ヴィッセル神戸,0,2,0,2,0,0,手倉森 誠,三浦 淳寛,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25036.html
25037,2021/04/03,17:03,ニッパツ三ツ沢球技場,3941,晴,18.5,58.0,横浜FC,柏レイソル,1,1,1,0,0,1,下平 隆宏,ネルシーニョ,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25037.html
25038,2021/04/03,14:03,豊田スタジアム,15035,曇,20.2,32.0,名古屋グランパス,FC東京,0,0,0,0,0,0,マッシモ フィッカデンティ,長谷川 健太,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25038.html
25039,2021/04/03,14:03,エディオンスタジアム広島,8665,曇,22.6,38.0,サンフレッチェ広島,ガンバ大阪,0,0,0,0,0,0,城福 浩,宮本 恒靖,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25039.html
25040,2021/04/03,14:03,ベスト電器スタジアム,4432,晴のち曇,25.3,51.0,アビスパ福岡,北海道コンサドーレ札幌,1,2,0,1,1,1,長谷部 茂利,ペトロヴィッチ,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25040.html
25041,2021/04/03,15:04,埼玉スタジアム2002,9975,晴,20.7,41.0,浦和レッズ,鹿島アントラーズ,2,1,1,1,1,0,リカルド ロドリゲス,ザーゴ,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25041.html
25042,2021/04/03,19:01,等々力陸上競技場,9810,曇,18.5,56.0,川崎フロンターレ,大分トリニータ,2,0,1,0,1,0,鬼木 達,片野坂 知宏,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25042.html
25043,2021/04/04,14:03,IAIスタジアム日本平,7464,曇のち雨,19.4,63.0,清水エスパルス,徳島ヴォルティス,0,3,0,1,0,2,ロティーナ,,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25043.html
25044,2021/04/07,19:01,県立カシマサッカースタジアム,4550,晴,13.2,49.0,鹿島アントラーズ,柏レイソル,2,1,0,0,2,1,ザーゴ,ネルシーニョ,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25044.html
25045,2021/04/07,19:03,味の素スタジアム,6236,晴,14.4,45.0,FC東京,北海道コンサドーレ札幌,2,1,0,0,2,1,長谷川 健太,ペトロヴィッチ,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25045.html
25046,2021/04/07,19:03,等々力陸上競技場,9173,晴,15.1,52.0,川崎フロンターレ,サガン鳥栖,1,0,0,0,1,0,鬼木 達,金 明輝,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25046.html
25047,2021/04/07,19:03,ニッパツ三ツ沢球技場,1899,晴,14.0,66.0,横浜FC,サンフレッチェ広島,0,3,0,3,0,0,下平 隆宏,城福 浩,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25047.html
25048,2021/04/07,19:03,レモンガススタジアム平塚,5285,晴,15.0,61.0,湘南ベルマーレ,名古屋グランパス,0,0,0,0,0,0,浮嶋 敏,マッシモ フィッカデンティ,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25048.html
25049,2021/04/07,19:02,IAIスタジアム日本平,5548,晴,12.6,69.0,清水エスパルス,浦和レッズ,0,2,0,1,0,1,ロティーナ,リカルド ロドリゲス,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25049.html
25050,2021/04/07,19:03,パナソニック スタジアム 吹田,5604,晴,15.1,49.0,ガンバ大阪,アビスパ福岡,0,0,0,0,0,0,宮本 恒靖,長谷部 茂利,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25050.html
25051,2021/04/07,19:03,ノエビアスタジアム神戸,5180,屋内,17.6,41.0,ヴィッセル神戸,大分トリニータ,1,0,1,0,0,0,三浦 淳寛,片野坂 知宏,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25051.html
25052,2021/04/07,19:03,鳴門・大塚スポーツパーク ポカリスエットスタジアム,3515,晴,16.0,46.0,徳島ヴォルティス,ベガルタ仙台,1,0,1,0,0,0,,手倉森 誠,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25052.html
25053,2021/04/06,19:03,日産スタジアム,7980,曇,11.7,48.0,横浜F・マリノス,セレッソ大阪,1,0,0,0,1,0,アンジェ ポステコグルー,,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25053.html
25054,2021/04/10,14:03,エディオンスタジアム広島,7085,晴,18.4,20.0,サンフレッチェ広島,湘南ベルマーレ,0,1,0,0,0,1,城福 浩,浮嶋 敏,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25054.html
25055,2021/04/11,13:08,札幌ドーム,10342,屋内,22.3,32.0,北海道コンサドーレ札幌,鹿島アントラーズ,2,2,1,2,1,0,ペトロヴィッチ,ザーゴ,90,C:\Users\81805\toto-edge-git\ml\player_engine\data\raw\matches\html\match_25055.html
