team,player_name,minute,match_card_id
北海道コンサドーレ札幌,アンデルソン ロペス,30,25040
北海道コンサドーレ札幌,アンデルソン ロペス,30,25040
北海道コンサドーレ札幌,福森 晃斗,54,25040
北海道コンサドーレ札幌,福森 晃斗,54,25040
浦和レッズ,明本 考浩,37,25041
浦和レッズ,明本 考浩,37,25041
浦和レッズ,槙野 智章,66,25041
浦和レッズ,槙野 智章,66,25041
鹿島アントラーズ,関川 郁万,45,25041
鹿島アントラーズ,関川 郁万,45,25041
川崎フロンターレ,三笘 薫,39,25042
川崎フロンターレ,三笘 薫,66,25042
川崎フロンターレ,三笘 薫,39,25042
川崎フロンターレ,三笘 薫,66,25042
徳島ヴォルティス,垣田 裕暉,90,25043
徳島ヴォルティス,垣田 裕暉,90,25043
徳島ヴォルティス,宮代 大聖,28,25043
徳島ヴォルティス,宮代 大聖,28,25043
徳島ヴォルティス,岩尾 憲,54,25043
徳島ヴォルティス,岩尾 憲,54,25043
柏レイソル,仲間 隼斗,65,25044
柏レイソル,仲間 隼斗,65,25044
鹿島アントラーズ,上田 綺世,63,25044
鹿島アントラーズ,上田 綺世,63,25044
鹿島アントラーズ,白崎 凌兵,88,25044
鹿島アントラーズ,白崎 凌兵,88,25044
FC東京,ディエゴ オリヴェイラ,61,25045
FC東京,ディエゴ オリヴェイラ,69,25045
FC東京,ディエゴ オリヴェイラ,61,25045
FC東京,ディエゴ オリヴェイラ,69,25045
北海道コンサドーレ札幌,アンデルソン ロペス,83,25045
北海道コンサドーレ札幌,アンデルソン ロペス,83,25045
川崎フロンターレ,遠野 大弥,65,25046
川崎フロンターレ,遠野 大弥,65,25046
サンフレッチェ広島,柴﨑 晃誠,40,25047
サンフレッチェ広島,柴﨑 晃誠,40,25047
サンフレッチェ広島,浅野 雄也,20,25047
サンフレッチェ広島,浅野 雄也,35,25047
サンフレッチェ広島,浅野 雄也,20,25047
サンフレッチェ広島,浅野 雄也,35,25047
浦和レッズ,岩波 拓也,40,25049
浦和レッズ,岩波 拓也,40,25049
浦和レッズ,杉本 健勇,90,25049
浦和レッズ,杉本 健勇,90,25049
ヴィッセル神戸,古橋 亨梧,11,25051
ヴィッセル神戸,古橋 亨梧,11,25051
徳島ヴォルティス,岸本 武流,24,25052
徳島ヴォルティス,岸本 武流,24,25052
横浜F・マリノス,オナイウ 阿道,87,25053
横浜F・マリノス,オナイウ 阿道,87,25053
湘南ベルマーレ,田中 聡,56,25054
湘南ベルマーレ,田中 聡,56,25054
北海道コンサドーレ札幌,アンデルソン ロペス,70,25055
北海道コンサドーレ札幌,アンデルソン ロペス,70,25055
北海道コンサドーレ札幌,田中 駿汰,26,25055
北海道コンサドーレ札幌,田中 駿汰,26,25055
鹿島アントラーズ,上田 綺世,20,25055
鹿島アントラーズ,上田 綺世,20,25055
鹿島アントラーズ,永戸 勝也,9,25055
鹿島アントラーズ,永戸 勝也,9,25055
FC東京,アダイウトン,59,25057
FC東京,アダイウトン,59,25057
FC東京,内田 宅哉,84,25057
FC東京,内田 宅哉,84,25057
川崎フロンターレ,レアンドロ ダミアン,75,25057
川崎フロンターレ,レアンドロ ダミアン,75,25057
川崎フロンターレ,三笘 薫,61,25057
川崎フロンターレ,三笘 薫,61,25057
川崎フロンターレ,家長 昭博,8,25057
川崎フロンターレ,家長 昭博,17,25057
川崎フロンターレ,家長 昭博,17,25057
川崎フロンターレ,家長 昭博,8,25057
ヴィッセル神戸,古橋 亨梧,88,25058
ヴィッセル神戸,古橋 亨梧,88,25058
清水エスパルス,エウシーニョ,74,25058
清水エスパルス,エウシーニョ,74,25058
サガン鳥栖,山下 敬大,19,25059
サガン鳥栖,山下 敬大,70,25059
サガン鳥栖,山下 敬大,19,25059
サガン鳥栖,山下 敬大,70,25059
サガン鳥栖,本田 風智,50,25059
サガン鳥栖,本田 風智,50,25059
名古屋グランパス,オウンゴール,44,25060
名古屋グランパス,オウンゴール,44,25060
名古屋グランパス,山﨑 凌吾,33,25060
名古屋グランパス,山﨑 凌吾,33,25060
名古屋グランパス,柿谷 曜一朗,90,25060
名古屋グランパス,柿谷 曜一朗,90,25060
浦和レッズ,関根 貴大,60,25061
浦和レッズ,関根 貴大,60,25061
柏レイソル,大谷 秀和,76,25062
柏レイソル,大谷 秀和,76,25062
アビスパ福岡,フアンマ デルガド,88,25063
アビスパ福岡,フアンマ デルガド,88,25063
アビスパ福岡,吉岡 雅和,67,25063
アビスパ福岡,吉岡 雅和,67,25063
セレッソ大阪,中島 元彦,69,25063
セレッソ大阪,中島 元彦,69,25063
セレッソ大阪,加藤 陸次樹,76,25063
セレッソ大阪,加藤 陸次樹,76,25063
北海道コンサドーレ札幌,アンデルソン ロペス,47,25064
北海道コンサドーレ札幌,アンデルソン ロペス,47,25064
横浜F・マリノス,エウベル,90,25064
横浜F・マリノス,エウベル,90,25064
横浜F・マリノス,オナイウ 阿道,80,25064
横浜F・マリノス,オナイウ 阿道,80,25064
横浜F・マリノス,前田 大然,82,25064
横浜F・マリノス,前田 大然,82,25064
ベガルタ仙台,吉野 恭平,90,25065
ベガルタ仙台,吉野 恭平,90,25065
ベガルタ仙台,西村 拓真,82,25065
ベガルタ仙台,西村 拓真,82,25065
横浜FC,袴田 裕太郎,17,25065
横浜FC,袴田 裕太郎,17,25065
横浜FC,齋藤 功佑,68,25065
横浜FC,齋藤 功佑,68,25065
鹿島アントラーズ,町田 浩樹,31,25066
鹿島アントラーズ,町田 浩樹,31,25066
アビスパ福岡,ブルーノ メンデス,58,25067
アビスパ福岡,ブルーノ メンデス,58,25067
柏レイソル,江坂 任,53,25068
柏レイソル,江坂 任,53,25068
サンフレッチェ広島,森島 司,65,25070
サンフレッチェ広島,森島 司,65,25070
川崎フロンターレ,家長 昭博,38,25070
川崎フロンターレ,家長 昭博,38,25070
サガン鳥栖,林 大地,6,25071
サガン鳥栖,林 大地,6,25071
サガン鳥栖,酒井 宣福,45,25071
サガン鳥栖,酒井 宣福,45,25071
名古屋グランパス,稲垣 祥,85,25071
名古屋グランパス,稲垣 祥,85,25071
セレッソ大阪,丸橋 祐介,66,25073
セレッソ大阪,丸橋 祐介,66,25073
セレッソ大阪,大久保 嘉人,5,25074
セレッソ大阪,大久保 嘉人,22,25074
セレッソ大阪,大久保 嘉人,22,25074
セレッソ大阪,大久保 嘉人,5,25074
川崎フロンターレ,レアンドロ ダミアン,7,25074
川崎フロンターレ,レアンドロ ダミアン,47,25074
川崎フロンターレ,レアンドロ ダミアン,47,25074
川崎フロンターレ,レアンドロ ダミアン,7,25074
川崎フロンターレ,三笘 薫,62,25074
川崎フロンターレ,三笘 薫,62,25074
名古屋グランパス,山﨑 凌吾,29,25075
名古屋グランパス,山﨑 凌吾,29,25075
名古屋グランパス,相馬 勇紀,55,25075
名古屋グランパス,相馬 勇紀,55,25075
ベガルタ仙台,加藤 千尋,16,25076
ベガルタ仙台,加藤 千尋,16,25076
北海道コンサドーレ札幌,ジェイ,88,25076
北海道コンサドーレ札幌,ジェイ,88,25076
北海道コンサドーレ札幌,小柏 剛,55,25076
北海道コンサドーレ札幌,小柏 剛,55,25076
FC東京,森重 真人,53,25077
FC東京,森重 真人,53,25077
サガン鳥栖,樋口 雄太,34,25077
サガン鳥栖,樋口 雄太,34,25077
サガン鳥栖,酒井 宣福,18,25077
サガン鳥栖,酒井 宣福,18,25077
横浜F・マリノス,オナイウ 阿道,34,25078
横浜F・マリノス,オナイウ 阿道,68,25078
横浜F・マリノス,オナイウ 阿道,34,25078
横浜F・マリノス,オナイウ 阿道,68,25078
横浜F・マリノス,マルコス ジュニオール,29,25078
横浜F・マリノス,マルコス ジュニオール,29,25078
横浜F・マリノス,レオ セアラ,78,25078
横浜F・マリノス,レオ セアラ,78,25078
横浜F・マリノス,前田 大然,71,25078
横浜F・マリノス,前田 大然,71,25078
アビスパ福岡,オウンゴール,9,25079
アビスパ福岡,オウンゴール,9,25079
アビスパ福岡,前 寛之,58,25079
アビスパ福岡,前 寛之,58,25079
サンフレッチェ広島,東 俊希,28,25079
サンフレッチェ広島,東 俊希,28,25079
徳島ヴォルティス,宮代 大聖,74,25080
徳島ヴォルティス,宮代 大聖,74,25080
柏レイソル,仲間 隼斗,48,25080
柏レイソル,仲間 隼斗,48,25080
柏レイソル,呉屋 大翔,9,25080
柏レイソル,呉屋 大翔,64,25080
柏レイソル,呉屋 大翔,64,25080
柏レイソル,呉屋 大翔,9,25080
柏レイソル,椎橋 慧也,30,25080
