match_card_id,detail_url,season,competition,section,match_date,kickoff,home_team,score,away_team,stadium,attendance
32266,https://data.j-league.or.jp/SFMS02/?match_card_id=32266,2025,Ｊ１,第１２節第２日,25/04/25(金),19:33,浦和,1-0,広島,埼玉,"28,555"
32267,https://data.j-league.or.jp/SFMS02/?match_card_id=32267,2025,Ｊ１,第１２節第２日,25/04/25(金),19:33,FC東京,3-0,Ｇ大阪,国立,"44,519"
32268,https://data.j-league.or.jp/SFMS02/?match_card_id=32268,2025,Ｊ１,第１２節第３日,25/04/26(土),14:03,柏,1-1,新潟,三協Ｆ柏,"13,030"
32269,https://data.j-league.or.jp/SFMS02/?match_card_id=32269,2025,Ｊ１,第１２節第１日,25/04/16(水),19:03,横浜FM,2-3,清水,日産ス,"16,785"
32270,https://data.j-league.or.jp/SFMS02/?match_card_id=32270,2025,Ｊ１,第１２節第１日,25/04/16(水),19:03,神戸,2-1,川崎Ｆ,ノエスタ,"11,019"
32271,https://data.j-league.or.jp/SFMS02/?match_card_id=32271,2025,Ｊ１,第１３節第１日,25/04/29(火・祝),13:09,FC東京,0-2,清水,味スタ,"33,769"
32272,https://data.j-league.or.jp/SFMS02/?match_card_id=32272,2025,Ｊ１,第１３節第１日,25/04/29(火・祝),14:03,横浜FC,0-3,鹿島,ニッパツ,"13,252"
32273,https://data.j-league.or.jp/SFMS02/?match_card_id=32273,2025,Ｊ１,第１３節第１日,25/04/29(火・祝),14:03,名古屋,1-2,柏,豊田ス,"34,151"
32274,https://data.j-league.or.jp/SFMS02/?match_card_id=32274,2025,Ｊ１,第１３節第１日,25/04/29(火・祝),14:03,岡山,0-1,東京Ｖ,ＪＦＥス,"14,285"
32275,https://data.j-league.or.jp/SFMS02/?match_card_id=32275,2025,Ｊ１,第１３節第１日,25/04/29(火・祝),14:03,広島,0-1,新潟,Ｅピース,"25,246"
32276,https://data.j-league.or.jp/SFMS02/?match_card_id=32276,2025,Ｊ１,第１３節第１日,25/04/29(火・祝),15:03,湘南,0-0,福岡,レモンＳ,"11,644"
32277,https://data.j-league.or.jp/SFMS02/?match_card_id=32277,2025,Ｊ１,第１３節第１日,25/04/29(火・祝),15:03,Ｇ大阪,2-1,京都,パナスタ,"30,620"
32278,https://data.j-league.or.jp/SFMS02/?match_card_id=32278,2025,Ｊ１,第１３節第１日,25/04/29(火・祝),15:03,Ｃ大阪,1-2,町田,ヨドコウ,"18,030"
32279,https://data.j-league.or.jp/SFMS02/?match_card_id=32279,2025,Ｊ１,第１３節第２日,25/05/21(水),19:03,川崎Ｆ,2-2,浦和,Ｕ等々力,"20,302"
32280,https://data.j-league.or.jp/SFMS02/?match_card_id=32280,2025,Ｊ１,第１３節第２日,25/05/21(水),19:03,横浜FM,1-2,神戸,日産ス,"15,373"
32281,https://data.j-league.or.jp/SFMS02/?match_card_id=32281,2025,Ｊ１,第１４節第１日,25/05/03(土・祝),13:03,広島,2-1,福岡,Ｅピース,"25,631"
32282,https://data.j-league.or.jp/SFMS02/?match_card_id=32282,2025,Ｊ１,第１４節第１日,25/05/03(土・祝),14:03,新潟,2-3,FC東京,デンカＳ,"30,272"
32283,https://data.j-league.or.jp/SFMS02/?match_card_id=32283,2025,Ｊ１,第１４節第１日,25/05/03(土・祝),14:03,清水,0-3,名古屋,国立,"52,847"
32284,https://data.j-league.or.jp/SFMS02/?match_card_id=32284,2025,Ｊ１,第１４節第１日,25/05/03(土・祝),15:03,鹿島,1-0,町田,カシマ,"33,762"
32285,https://data.j-league.or.jp/SFMS02/?match_card_id=32285,2025,Ｊ１,第１４節第１日,25/05/03(土・祝),15:03,浦和,2-0,東京Ｖ,埼玉,"52,429"
32286,https://data.j-league.or.jp/SFMS02/?match_card_id=32286,2025,Ｊ１,第１４節第１日,25/05/03(土・祝),15:03,Ｇ大阪,4-0,湘南,パナスタ,"29,937"
32287,https://data.j-league.or.jp/SFMS02/?match_card_id=32287,2025,Ｊ１,第１４節第１日,25/05/03(土・祝),19:03,京都,2-3,Ｃ大阪,サンガＳ,"18,452"
32288,https://data.j-league.or.jp/SFMS02/?match_card_id=32288,2025,Ｊ１,第１４節第２日,25/05/14(水),19:03,川崎Ｆ,2-1,横浜FC,Ｕ等々力,"20,175"
32289,https://data.j-league.or.jp/SFMS02/?match_card_id=32289,2025,Ｊ１,第１４節第２日,25/05/14(水),19:03,横浜FM,0-2,柏,日産ス,"14,513"
32290,https://data.j-league.or.jp/SFMS02/?match_card_id=32290,2025,Ｊ１,第１４節第１日,25/05/03(土・祝),15:03,神戸,2-0,岡山,ノエスタ,"25,596"
32291,https://data.j-league.or.jp/SFMS02/?match_card_id=32291,2025,Ｊ１,第１５節第１日,25/05/06(火・休),14:03,浦和,0-1,Ｇ大阪,埼玉,"41,770"
32292,https://data.j-league.or.jp/SFMS02/?match_card_id=32292,2025,Ｊ１,第１５節第１日,25/05/06(火・休),15:03,名古屋,0-0,岡山,豊田ス,"24,867"
32293,https://data.j-league.or.jp/SFMS02/?match_card_id=32293,2025,Ｊ１,第１５節第１日,25/05/06(火・休),14:03,福岡,0-1,鹿島,ベススタ,"14,039"
32294,https://data.j-league.or.jp/SFMS02/?match_card_id=32294,2025,Ｊ１,第１５節第１日,25/05/06(火・休),16:03,柏,1-0,清水,三協Ｆ柏,"11,747"
32295,https://data.j-league.or.jp/SFMS02/?match_card_id=32295,2025,Ｊ１,第１５節第１日,25/05/06(火・休),16:03,東京Ｖ,2-0,横浜FC,味スタ,"14,258"
32296,https://data.j-league.or.jp/SFMS02/?match_card_id=32296,2025,Ｊ１,第１５節第２日,25/05/07(水),19:03,町田,1-2,京都,Ｇスタ,"7,183"
32297,https://data.j-league.or.jp/SFMS02/?match_card_id=32297,2025,Ｊ１,第１５節第２日,25/05/07(水),19:03,湘南,0-1,広島,レモンＳ,"8,871"
32298,https://data.j-league.or.jp/SFMS02/?match_card_id=32298,2025,Ｊ１,第１５節第３日,25/06/25(水),19:03,川崎Ｆ,3-1,新潟,Ｕ等々力,"20,905"
32299,https://data.j-league.or.jp/SFMS02/?match_card_id=32299,2025,Ｊ１,第１５節第１日,25/05/06(火・休),14:03,神戸,1-3,Ｃ大阪,ノエスタ,"24,891"
32300,https://data.j-league.or.jp/SFMS02/?match_card_id=32300,2025,Ｊ１,第１５節第３日,25/06/25(水),19:33,横浜FM,0-3,FC東京,日産ス,"19,244"
32301,https://data.j-league.or.jp/SFMS02/?match_card_id=32301,2025,Ｊ１,第１６節第１日,25/05/10(土),14:03,横浜FC,1-0,福岡,ニッパツ,"8,311"
32302,https://data.j-league.or.jp/SFMS02/?match_card_id=32302,2025,Ｊ１,第１６節第１日,25/05/10(土),15:03,FC東京,1-0,神戸,味スタ,"24,837"
32303,https://data.j-league.or.jp/SFMS02/?match_card_id=32303,2025,Ｊ１,第１６節第１日,25/05/10(土),16:03,柏,2-0,岡山,三協Ｆ柏,"12,414"
32304,https://data.j-league.or.jp/SFMS02/?match_card_id=32304,2025,Ｊ１,第１６節第２日,25/05/11(日),13:10,鹿島,2-1,川崎Ｆ,国立,"59,574"
32305,https://data.j-league.or.jp/SFMS02/?match_card_id=32305,2025,Ｊ１,第１６節第２日,25/05/11(日),13:08,清水,2-2,町田,アイスタ,"16,741"
32306,https://data.j-league.or.jp/SFMS02/?match_card_id=32306,2025,Ｊ１,第１６節第２日,25/05/11(日),14:03,京都,1-1,名古屋,サンガＳ,"16,994"
