match_card_id,team,match_date,team_core_score,team_momentum,team_stability,core_player_count,available_player_count
25120,アビスパ福岡,,0.710656,0.642168,0.909091,12,18
25120,湘南ベルマーレ,,0.619488,0.555459,0.909091,10,17
25121,名古屋グランパス,,0.621111,0.568907,0.909091,10,17
25121,徳島ヴォルティス,,0.716662,0.646822,0.818182,13,18
25122,FC東京,,0.674275,0.608864,1.0,13,18
25122,ガンバ大阪,,0.668248,0.595978,0.727273,11,18
25123,サンフレッチェ広島,,0.651991,0.570593,0.545455,10,18
25123,セレッソ大阪,,0.724383,0.659932,0.818182,11,18
25124,サガン鳥栖,,0.637523,0.581619,0.909091,11,17
25124,北海道コンサドーレ札幌,,0.640995,0.561775,0.909091,11,18
25125,セレッソ大阪,,0.727623,0.670451,0.727273,12,17
25125,鹿島アントラーズ,,0.679977,0.623559,0.727273,11,18
25126,ヴィッセル神戸,,0.654838,0.584028,0.545455,12,18
25126,柏レイソル,,0.665316,0.62904,0.909091,12,18
25127,アビスパ福岡,,0.668056,0.59425,0.636364,10,18
25127,横浜FC,,0.672647,0.611478,0.727273,14,18
25128,サンフレッチェ広島,,0.653272,0.579022,0.545455,11,18
25128,浦和レッズ,,0.674776,0.60109,0.818182,11,18
25129,川崎フロンターレ,,0.645093,0.580194,0.545455,11,18
25129,湘南ベルマーレ,,0.601381,0.523324,0.636364,9,18
25130,FC東京,,0.670617,0.604198,0.909091,12,18
25130,清水エスパルス,,0.70561,0.640164,0.818182,13,18
25131,ガンバ大阪,,0.68625,0.620185,0.727273,13,18
25131,徳島ヴォルティス,,0.662654,0.592873,1.0,12,18
25132,大分トリニータ,,0.706142,0.639381,0.727273,12,18
25132,横浜F・マリノス,,0.604761,0.523404,0.545455,9,18
25133,ベガルタ仙台,,0.58294,0.475824,0.454545,10,18
25133,名古屋グランパス,,0.625355,0.571154,0.818182,10,18
25134,北海道コンサドーレ札幌,,0.642762,0.578173,0.636364,11,18
25134,柏レイソル,,0.664414,0.616605,0.727273,12,18
25135,横浜F・マリノス,,0.697824,0.645815,0.818182,11,18
25135,清水エスパルス,,0.715455,0.644466,0.909091,13,18
25136,FC東京,,0.627145,0.577309,0.727273,10,18
25136,サンフレッチェ広島,,0.670069,0.611454,0.545455,12,18
25137,セレッソ大阪,,0.690363,0.642111,0.818182,12,17
25137,ベガルタ仙台,,0.629519,0.568128,0.545455,10,18
25138,サガン鳥栖,,0.727878,0.674238,0.636364,15,18
25138,ヴィッセル神戸,,0.65554,0.599042,0.818182,11,18
25139,徳島ヴォルティス,,0.636597,0.564228,0.909091,11,18
25139,湘南ベルマーレ,,0.655046,0.604688,0.727273,11,18
25140,アビスパ福岡,,0.675918,0.610809,0.636364,12,18
25140,大分トリニータ,,0.701111,0.651852,0.818182,12,18
25141,ガンバ大阪,,0.669848,0.590561,0.454545,11,18
25141,横浜FC,,0.65311,0.593154,0.909091,11,18
25142,名古屋グランパス,,0.633395,0.584105,0.818182,9,18
25142,浦和レッズ,,0.678002,0.616147,0.727273,11,18
25143,川崎フロンターレ,,0.665463,0.601556,0.545455,12,18
25143,鹿島アントラーズ,,0.682253,0.636904,0.909091,11,18
25144,アビスパ福岡,,0.62733,0.559327,0.636364,11,18
25144,ヴィッセル神戸,,0.707539,0.628349,0.818182,13,18
25145,北海道コンサドーレ札幌,,0.60456,0.525559,0.727273,8,18
25145,大分トリニータ,,0.622392,0.558444,0.727273,10,17
25146,セレッソ大阪,,0.545826,0.451642,0.454545,7,18
25146,徳島ヴォルティス,,0.649491,0.587367,0.454545,11,18
