round_no,match_no,home_team,away_team,kickoff_at,venue,toto_result,product_type,competition
1295,5,福岡,磐田,2022-04-13,ベススタ,1,mini_toto,J.League
1296,1,福岡,C大阪,2022-04-17,ベススタ,0,mini_toto,J.League
1296,2,柏,京都,2022-04-17,三協F柏,2,mini_toto,J.League
1296,3,岩手,大分,2022-04-16,北上,2,mini_toto,J.League
1296,4,金沢,甲府,2022-04-16,石川西部,2,mini_toto,J.League
1296,5,琉球,群馬,2022-04-16,タピスタ,2,mini_toto,J.League
1296,6,福岡,C大阪,2022-04-17,ベススタ,0,mini_toto,J.League
1296,7,柏,京都,2022-04-17,三協F柏,2,mini_toto,J.League
1296,8,岩手,大分,2022-04-16,北上,2,mini_toto,J.League
1296,9,金沢,甲府,2022-04-16,石川西部,2,mini_toto,J.League
1296,10,琉球,群馬,2022-04-16,タピスタ,2,mini_toto,J.League
1296,11,秋田,長崎,2022-04-17,ソユスタ,2,mini_toto,J.League
1296,12,岡山,新潟,2022-04-17,Cスタ,0,mini_toto,J.League
1296,13,横浜C,仙台,2022-04-17,ニッパツ,1,mini_toto,Other
1297,1,広島,徳島,2022-04-23,Eスタ,1,mini_toto,J.League
1297,2,鳥栖,京都,2022-04-23,駅スタ,1,mini_toto,J.League
1297,3,磐田,F東京,2022-04-23,ヤマハ,1,mini_toto,J.League
1297,4,水戸,山口,2022-04-23,Ksスタ,1,mini_toto,J.League
1297,5,仙台,琉球,2022-04-23,ユアスタ,1,mini_toto,J.League
1297,6,広島,徳島,2022-04-23,Eスタ,1,mini_toto,J.League
1297,7,鳥栖,京都,2022-04-23,駅スタ,1,mini_toto,J.League
1297,8,磐田,F東京,2022-04-23,ヤマハ,1,mini_toto,J.League
1297,9,水戸,山口,2022-04-23,Ksスタ,1,mini_toto,J.League
1297,10,仙台,琉球,2022-04-23,ユアスタ,1,mini_toto,J.League
1297,11,新潟,長崎,2022-04-23,デンカS,1,mini_toto,J.League
1297,12,東京V,千葉,2022-04-23,味スタ,0,mini_toto,J.League
1297,13,甲府,町田,2022-04-23,JITス,1,mini_toto,J.League
1298,1,清水,広島,2022-04-29,アイスタ,0,mini_toto,J.League
1298,2,千葉,大分,2022-04-30,フクアリ,2,mini_toto,J.League
1298,3,水戸,甲府,2022-04-30,Ksスタ,1,mini_toto,J.League
1298,4,琉球,新潟,2022-04-30,タピスタ,0,mini_toto,J.League
1298,5,山口,栃木,2022-04-30,みらスタ,1,mini_toto,J.League
1298,6,清水,広島,2022-04-29,アイスタ,0,mini_toto,J.League
1298,7,千葉,大分,2022-04-30,フクアリ,2,mini_toto,J.League
1298,8,水戸,甲府,2022-04-30,Ksスタ,1,mini_toto,J.League
1298,9,琉球,新潟,2022-04-30,タピスタ,0,mini_toto,J.League
1298,10,山口,栃木,2022-04-30,みらスタ,1,mini_toto,J.League
1298,11,富山,鳥取,2022-04-29,富山,1,mini_toto,J.League
1298,12,愛媛,福島,2022-04-29,ニンスタ,0,mini_toto,J.League
1298,13,北九州,藤枝,2022-04-29,ミクスタ,2,mini_toto,J.League
1299,1,名古屋,京都,2022-05-03,豊田ス,0,mini_toto,J.League
1299,2,G大阪,札幌,2022-05-04,パナスタ,0,mini_toto,J.League
1299,3,岡山,水戸,2022-05-04,Cスタ,1,mini_toto,J.League
1299,4,大分,大宮,2022-05-04,昭和電ド,0,mini_toto,J.League
1299,5,横浜C,熊本,2022-05-04,ニッパツ,2,mini_toto,Other
1299,6,名古屋,京都,2022-05-03,豊田ス,0,mini_toto,J.League
1299,7,G大阪,札幌,2022-05-04,パナスタ,0,mini_toto,J.League
1299,8,岡山,水戸,2022-05-04,Cスタ,1,mini_toto,J.League
1299,9,大分,大宮,2022-05-04,昭和電ド,0,mini_toto,J.League
1299,10,横浜C,熊本,2022-05-04,ニッパツ,2,mini_toto,Other
1299,11,秋田,琉球,2022-05-04,ソユスタ,1,mini_toto,J.League
1299,12,徳島,千葉,2022-05-04,鳴門大塚,1,mini_toto,J.League
1299,13,岩手,長崎,2022-05-04,いわスタ,2,mini_toto,J.League
1300,1,広島,鹿島,2022-05-07,Eスタ,1,mini_toto,J.League
1300,2,福岡,湘南,2022-05-07,ベススタ,0,mini_toto,J.League
1300,3,F東京,鳥栖,2022-05-08,味スタ,2,mini_toto,J.League
1300,4,栃木,甲府,2022-05-08,カンセキ,0,mini_toto,J.League
1300,5,新潟,東京V,2022-05-08,デンカS,1,mini_toto,J.League
1300,6,広島,鹿島,2022-05-07,Eスタ,1,mini_toto,J.League
1300,7,福岡,湘南,2022-05-07,ベススタ,0,mini_toto,J.League
1300,8,F東京,鳥栖,2022-05-08,味スタ,2,mini_toto,J.League
1300,9,栃木,甲府,2022-05-08,カンセキ,0,mini_toto,J.League
1300,10,新潟,東京V,2022-05-08,デンカS,1,mini_toto,J.League
1300,11,熊本,琉球,2022-05-08,えがおS,2,mini_toto,J.League
1300,12,金沢,山口,2022-05-08,石川西部,1,mini_toto,J.League
1301,1,京都,清水,2022-05-14,サンガS,0,mini_toto,J.League
1301,2,川崎,福岡,2022-05-14,等々力,1,mini_toto,J.League
1301,3,柏,G大阪,2022-05-14,三協F柏,2,mini_toto,J.League
1301,4,琉球,栃木,2022-05-14,タピスタ,1,mini_toto,J.League
1301,5,大分,熊本,2022-05-14,昭和電ド,2,mini_toto,J.League
1301,6,京都,清水,2022-05-14,サンガS,0,mini_toto,J.League
1301,7,川崎,福岡,2022-05-14,等々力,1,mini_toto,J.League
1301,8,柏,G大阪,2022-05-14,三協F柏,2,mini_toto,J.League
