toto_round,match_date,home_raw,away_raw,home_team,away_team,home_class,away_class,match_class,competition_raw
1546,,中国,ﾊﾞｰﾚｰﾝ,中国,バーレーン,Other,Other,Other,National Team
1546,,ｻｳｼﾞ,ｵｰｽﾄﾗﾘ,サウジ,オーストラリ,Other,Other,Other,Unknown
1546,,韓国,ｸｳｪｰﾄ,韓国,クウェート,Other,Other,Other,National Team
1546,,ｳｽﾞﾍﾞｷ,ｶﾀｰﾙ,ウズベキ,カタール,Other,Other,Other,Unknown
1546,,ﾖﾙﾀﾞﾝ,ｲﾗｸ,ヨルダン,イラク,Other,Other,Other,Unknown
1546,,ｷﾙｷﾞｽ,UAE,キルギス,UAE,Other,Other,Other,National Team
1546,,ﾍﾞﾙｷﾞｰ,ｳｪｰﾙｽﾞ,ベルギー,ウェールズ,Other,Other,Other,Unknown
1546,,ﾌｪﾛｰ,ｼﾞﾌﾞﾗﾙ,フェロー,ジブラル,Other,Other,Other,Unknown
1546,,ｸﾛｱﾁｱ,ﾁｪｺ,クロアチア,チェコ,Other,Other,Other,Unknown
1546,,ﾌｨﾝﾗﾝ,ﾎﾟｰﾗﾝ,フィンラン,ポーラン,Other,Other,Other,Unknown
1546,,ﾗﾄﾋﾞｱ,ｱﾙﾊﾞﾆｱ,ラトビア,アルバニア,Other,Other,Other,Unknown
1546,,ｴｽﾄﾆｱ,ﾉﾙｳｪｰ,エストニア,ノルウェー,Other,Other,Other,Unknown
1545,,FC今治,大分,FC今治,大分,Other,J2,Other,Cup/Other
1545,,ジュビロ磐田,湘南ベルマーレ,磐田,湘南,J1,J1,J1,J.League
1545,,サンフレッチェ広島,アビスパ福岡,広島,福岡,J1,J1,J1,J.League
1545,,横浜FC,セレッソ大阪,横浜FC,C大阪,J1,J1,J1,J.League
1545,,柏レイソル,東京ヴェルディ,柏,東京V,J1,J1,J1,J.League
1544,,ｵｰｽﾄﾗﾘ,日本,オーストラリ,日本,Other,Other,Other,National Team
1544,,ｲﾗｸ,韓国,イラク,韓国,Other,Other,Other,National Team
1544,,ｶﾀｰﾙ,ｲﾗﾝ,カタール,イラン,Other,Other,Other,Unknown
1544,,ｲﾝﾄﾞﾈｼ,中国,インドネシ,中国,Other,Other,Other,National Team
1544,,UAE,ｳｽﾞﾍﾞｷ,UAE,ウズベキ,Other,Other,Other,National Team
1544,,ｵﾏｰﾝ,ﾖﾙﾀﾞﾝ,オマーン,ヨルダン,Other,Other,Other,Unknown
1544,,ﾊﾞｰﾚｰﾝ,ｻｳｼﾞ,バーレーン,サウジ,Other,Other,Other,Unknown
1544,,ｸｳｪｰﾄ,ﾊﾟﾚｽﾁﾅ,クウェート,パレスチナ,Other,Other,Other,Unknown
1544,,ﾉﾙｳｪｰ,ｲﾀﾘｱ,ノルウェー,イタリア,Other,Other,Other,Unknown
1544,,ﾁｪｺ,ﾓﾝﾃﾈｸﾞ,チェコ,モンテネグ,Other,Other,Other,Unknown
1544,,ｴｽﾄﾆｱ,ｲｽﾗｴﾙ,エストニア,イスラエル,Other,Other,Other,Unknown
1544,,北マケ,ﾍﾞﾙｷﾞｰ,北マケ,ベルギー,Other,Other,Other,Unknown
1544,,ｳｪｰﾙｽﾞ,ﾘﾋﾃﾝｼｭ,ウェールズ,リヒテンシュ,Other,Other,Other,Unknown
1543,,東京ヴェルディ,0,東京V,0,J1,Other,Other,Cup/Other
1543,,セレッソ大阪,3,C大阪,3,J1,Other,Other,Cup/Other
1543,,アビスパ福岡,1,福岡,1,J1,Other,Other,Cup/Other
1542,,名古屋グランパス,アルビレックス新潟,名古屋,新潟,J1,J1,J1,J.League
1542,,町田,横浜F・マリノス,町田,横浜FM,J1,J1,J1,J.League
1542,,柏レイソル,ヴィッセル神戸,柏,神戸,J1,J1,J1,J.League
1542,,ガンバ大阪,鹿島アントラーズ,G大阪,鹿島,J1,J1,J1,J.League
1542,,京都サンガF.C.,FC東京,京都,FC東京,J1,J1,J1,J.League
1542,,アビスパ福岡,東京ヴェルディ,福岡,東京V,J1,J1,J1,J.League
1542,,サンフレッチェ広島,川崎フロンターレ,広島,川崎F,J1,J1,J1,J.League
