roundNo,snapshotDate,homeTeam,awayTeam,prediction,actual,correct,probH,probD,probA,confidence,margin,entropy,isDraw
1613,2025-03-01,横浜F・マリノス,東京ヴェルディ,H,H,True,0.5821433012616399,0.1309540989095985,0.28690259982876215,0.5821433012616399,0.2952407014328778,0.9394098790872318,False
1613,2025-03-01,川崎フロンターレ,水戸ホーリーホック,H,D,False,0.4285399901286279,0.1845393252190929,0.38692068465227947,0.4285399901286279,0.041619305476348456,1.0423790588421413,True
1613,2025-03-01,ガンバ大阪,清水エスパルス,H,A,False,0.49437198463177534,0.21257487664612204,0.2930531387221027,0.49437198463177534,0.20131884590967264,1.0371264838851426,False
1614,2025-03-08,ファジアーノ岡山,京都サンガF.C.,A,H,False,0.24523785001686912,0.2309122848199482,0.5238498651631833,0.5238498651631833,0.2786120151463142,1.0218357064215668,False
1614,2025-03-08,FC東京,横浜F・マリノス,A,H,False,0.37381451345916666,0.18905072396914183,0.4371347625716919,0.4371347625716919,0.06332024911252526,1.044476185124023,False
1614,2025-03-08,ガンバ大阪,V・ファーレン長崎,H,H,True,0.47140677613444315,0.1691495889174288,0.359443634948128,0.47140677613444315,0.11196314118631517,1.022869907819714,False
1614,2025-03-08,アビスパ福岡,名古屋グランパス,A,A,True,0.3853484351134314,0.17756055541973345,0.43709100946683505,0.43709100946683505,0.051742574353403625,1.0361170632767647,False
1614,2025-03-08,いわきFC,大宮,H,D,False,0.44352243432576954,0.23950065014017333,0.31697691553405816,0.44352243432576954,0.1265455187917114,1.0670640457476823,True
1614,2025-03-08,モンテディオ山形,ブラウブリッツ秋田,H,A,False,0.5003264601709787,0.18036583474778708,0.319307705081234,0.5003264601709787,0.1810187550897447,1.0199198437177706,False
1614,2025-03-08,浦和レッズ,水戸ホーリーホック,A,H,False,0.375670705756908,0.15256639908842848,0.47176289515466446,0.47176289515466446,0.09609218939775649,1.0090714906893012,False
1614,2025-03-08,セレッソ大阪,清水エスパルス,H,D,False,0.5468744841716351,0.1446698314393271,0.3084556843890375,0.5468744841716351,0.2384187997825976,0.9725472828456615,True
1614,2025-03-08,ジェフユナイテッド千葉,柏レイソル,H,H,True,0.4169674328516378,0.20505550475529835,0.37797706239306406,0.4169674328516378,0.03899037045857373,1.057388423658319,False
1614,2025-03-08,ベガルタ仙台,湘南ベルマーレ,H,D,False,0.4828225529986981,0.24710003807473685,0.2700774089265653,0.4828225529986981,0.2127451440721328,1.0505264322241998,True
1614,2025-03-08,藤枝MYFC,ジュビロ磐田,A,D,False,0.31121144827098285,0.24623213612558018,0.4425564156034368,0.4425564156034368,0.13134496733245393,1.0691276706548927,True
1614,2025-03-08,八戸,横浜FC,H,D,False,0.4657089527487997,0.26402071528347903,0.2702703319677217,0.4657089527487997,0.195438620781078,1.0610993628578091,True
1614,2025-03-08,鹿島アントラーズ,東京ヴェルディ,H,A,False,0.46666559877129526,0.2628296853253935,0.27050471590331154,0.46666559877129526,0.19616088286798372,1.0605471769591417,False
1616,2025-03-15,水戸ホーリーホック,FC東京,H,D,False,0.4554499631542521,0.165264589816736,0.37928544702901235,0.4554499631542521,0.07616451612523978,1.0234124449428148,True
1616,2025-03-15,清水エスパルス,ファジアーノ岡山,H,D,False,0.5208055192876517,0.16574910095362347,0.313445379758725,0.5208055192876517,0.20736013952892673,1.0012973659827826,True
1616,2025-03-15,八戸,栃木シティ,H,A,False,0.46174971124957187,0.2539047775178708,0.2843455112325573,0.46174971124957187,0.17740420001701457,1.0624435736222713,False
1616,2025-03-15,ジュビロ磐田,北海道コンサドーレ札幌,A,A,True,0.3920651665695068,0.16218052028759422,0.44575431314289926,0.44575431314289926,0.053689146573392466,1.0222788324191425,False
