windowNo,roundNo,snapshotDate,league,homeTeam,awayTeam,prediction,actual,correct,confidence,probHome,probDraw,probAway,homeAttackRating,defenseRatingDiff,awayAttackRating,homeAwayDiff,homeRank,awayAwayGoalsAgainstPerMatch,rankDiff,homeHomeElo,homeHomeGoalsPerMatch,absEloDiff,absRankDiff,absPointsDiff,absAttackDiff,balanceScore,homeLast3Points,awayLast3Points,last3PointsDiff,homeLast3Wins,awayLast3Wins,last3WinsDiff,homeUnbeatenStreak,awayUnbeatenStreak,unbeatenStreakDiff,homeLosingStreak,awayLosingStreak,losingStreakDiff
55,1574,2024-10-05,J.League,名古屋グランパス,セレッソ大阪,H,H,True,0.4195964616973326,0.4195964616973326,0.22180151527783876,0.3586020230248291,0.3815937149270482,-0.1499999999999999,0.4342273307790548,33,17,0.6428571428571429,-4,1509,0.625,31,4,0,0.0526336158520066,11.8905267231704,3,1,2,1,0,1,0,0,0,2,1,1
56,1577,2024-10-12,J.League,北九州,鹿児島,H,D,False,0.447478044572329,0.447478044572329,0.3152649635328369,0.2372569918948346,0.4938271604938271,-0.6749999999999998,0.3703703703703703,-1,48,0.0,2,1499,0.5,5,2,1,0.1234567901234567,2.4096913580246917,4,3,1,1,1,0,0,1,-1,1,0,1
57,1577,2024-10-12,J.League,栃木SC,福島,H,H,True,0.4357685321290987,0.4357685321290987,0.22444499323528183,0.33978647463561984,0.0,-0.6750000000000003,0.4938271604938271,-9,58,0.3333333333333333,-16,1500,0.0,24,16,8,0.4938271604938271,12.633765432098764,0,4,-4,0,1,-1,0,1,-1,2,0,2
58,1577,2024-10-12,J.League,サンフレッチェ広島,横浜FC,D,H,False,0.4697878419671791,0.2640043168732961,0.4697878419671791,0.2662078411595254,0.5555555555555555,1.2367132867132868,0.3485838779956426,82,2,0.7333333333333333,12,1543,0.7222222222222222,148,12,22,0.2069716775599128,55.08873699285464,7,3,4,2,1,1,5,0,5,0,1,-1
59,1577,2024-10-12,J.League,柏レイソル,川崎フロンターレ,H,A,False,0.4282679148646904,0.4282679148646904,0.15894723702327632,0.41278484811203336,0.5734767025089605,0.3736607142857147,0.5734767025089605,-18,3,0.4375,4,1530,0.75,9,4,4,0.0,4.224732142857143,5,2,3,1,0,1,4,2,2,0,0,0
60,1580,2024-10-19,J.League,FC今治,山口,A,D,False,0.42905737920878234,0.3676080148859901,0.20333460590522842,0.42905737920878234,0.5432098765432098,1.0912499999999998,0.4166666666666666,19,24,1.0,12,1493,0.625,73,12,14,0.1265432098765432,28.793558641975302,4,5,-1,1,1,0,0,5,-5,1,0,1
61,1580,2024-10-19,J.League,サガン鳥栖,ブラウブリッツ秋田,A,H,False,0.4123686143250324,0.332737514658638,0.2548938710163303,0.4123686143250324,0.4938271604938271,0.6026785714285712,0.4074074074074074,9,26,0.7142857142857143,2,1509,0.75,50,2,1,0.0864197530864196,18.137819664903,4,5,-1,1,1,0,2,4,-2,0,0,0
62,1580,2024-10-19,J.League,モンテディオ山形,熊本,D,D,True,0.47282090589403514,0.29832190064084807,0.47282090589403514,0.22885719346511754,0.4320987654320987,0.5961038961038962,0.2645502645502645,-8,19,0.7142857142857143,18,1474,0.4285714285714285,62,18,23,0.1675485008818342,26.352730479397145,6,3,3,2,1,1,1,0,1,0,1,-1
63,1580,2024-10-19,J.League,湘南ベルマーレ,京都サンガF.C.,A,D,False,0.5930533603397069,0.18791595695969493,0.21903068270059897,0.5930533603397069,0.2867383512544803,-1.3152857142857146,0.5256869772998806,-79,27,0.3333333333333333,-24,1471,0.5384615384615384,180,24,32,0.2389486260454003,69.31084686806624,0,5,-5,0,1,-1,0,3,-3,5,0,5
64,1580,2024-10-19,J.League,横浜F・マリノス,浦和レッズ,H,H,True,0.44552028427124707,0.44552028427124707,0.1745908293687928,0.37988888635996065,0.3703703703703703,-0.3374999999999999,0.4843304843304843,47,14,0.7692307692307693,-4,1523,0.6666666666666666,38,4,5,0.1139601139601139,14.390292022792025,3,4,-1,1,1,0,0,2,-2,1,0,1
