window,alpha,train_round_start,train_round_end,test_round_start,test_round_end,train_rows,test_rows,accuracy,macro_f1,weighted_f1,log_loss,draw_precision,draw_recall,draw_f1,draw_support,predicted_draws
7,0.3,1506,1614,1615,1625,991,114,0.47368421052631576,0.4165204011853203,0.4680046009141842,1.0691912390058227,0.2222222222222222,0.17391304347826086,0.1951219512195122,23,18
7,0.4,1506,1614,1615,1625,991,114,0.45614035087719296,0.41389880630386955,0.4560131801970576,1.0782880651534534,0.22727272727272727,0.21739130434782608,0.2222222222222222,23,22
7,0.5,1506,1614,1615,1625,991,114,0.40350877192982454,0.3938772249384846,0.413201876323442,1.088989589787282,0.23684210526315788,0.391304347826087,0.29508196721311475,23,38
7,0.6,1506,1614,1615,1625,991,114,0.39473684210526316,0.3887904210484856,0.40491116127788457,1.1012465561686706,0.23809523809523808,0.43478260869565216,0.3076923076923077,23,42
8,0.0,1506,1625,1626,1632,1105,78,0.4358974358974359,0.3765512881302355,0.40533464638727795,1.0916597880134018,0.3333333333333333,0.10526315789473684,0.16,19,6
8,0.1,1506,1625,1626,1632,1105,78,0.4358974358974359,0.3765512881302355,0.40533464638727795,1.0935441918134872,0.3333333333333333,0.10526315789473684,0.16,19,6
8,0.2,1506,1625,1626,1632,1105,78,0.44871794871794873,0.41629896337086847,0.4335513757307679,1.0976150398416014,0.4444444444444444,0.21052631578947367,0.2857142857142857,19,9
8,0.3,1506,1625,1626,1632,1105,78,0.4358974358974359,0.4051868802440885,0.42359913160828494,1.1036764539443453,0.36363636363636365,0.21052631578947367,0.26666666666666666,19,11
8,0.4,1506,1625,1626,1632,1105,78,0.44871794871794873,0.42476920211775343,0.4421342485433794,1.1115958105378112,0.3333333333333333,0.2631578947368421,0.29411764705882354,19,15
8,0.5,1506,1625,1626,1632,1105,78,0.3974358974358974,0.38245442563715254,0.40101224467477964,1.121288076778885,0.22727272727272727,0.2631578947368421,0.24390243902439024,19,22
8,0.6,1506,1625,1626,1632,1105,78,0.3717948717948718,0.3682920536635707,0.3784217803180651,1.1327064656192174,0.2413793103448276,0.3684210526315789,0.2916666666666667,19,29
