feature,random_forest_importance,random_forest_rank,lightgbm_importance,lightgbm_rank,mean_importance,geometric_mean_importance,mean_rank,rank_gap,relative_disagreement,consensus_score,family,side,position,present_in_random_forest,present_in_lightgbm,consensus_rank
away_team_stability,0.009244694378805233,45,0.008733194885968432,46,0.008988944632386833,0.008985305652637698,45.5,1,0.0553289781011567,0.008987307091499723,Team stability,Away,Team-level,True,True,45
home_momentum_GK,0.006409185819039023,54,0.008735227323634631,45,0.0075722065713368265,0.0074823589254139145,49.5,9,0.2662828817633756,0.007531775130671516,Momentum,Home,GK,True,True,46
core_player_countDiff,0.00867303016398143,46,0.006105833625553722,51,0.007389431894767576,0.007277092771889027,48.5,5,0.2959976490211138,0.007338879289472229,Core player strength,Difference,Team-level,True,True,47
home_core_GK,0.005828697477089621,60,0.008558438338744931,47,0.007193567907917276,0.007062899401298992,53.5,13,0.31895314934939617,0.007134767079939049,Core player strength,Home,GK,True,True,48
available_count_MFDiff,0.008094356775782529,48,0.006027098207661122,52,0.007060727491721826,0.00698466056551702,50.0,4,0.25539503945593667,0.007026497374929663,Availability,Difference,MF,True,True,49
starter_count_FWRatio,0.00820315883736193,47,0.005878670603521522,54,0.007040914720441726,0.0069443263685700545,50.5,7,0.2833650158343082,0.006997449962099474,Starter availability,Ratio,FW,True,True,50
away_available_count_MF,0.006920093804704024,50,0.006502941259813523,49,0.006711517532258774,0.006708275748982725,49.5,1,0.06028134251690871,0.006710058729784552,Availability,Away,MF,True,True,51
away_momentum_GK,0.006361642992248823,55,0.006374311972892624,50,0.006367977482570723,0.006367974331980314,52.5,5,0.001987505584552027,0.00636797606480504,Momentum,Away,GK,True,True,52
away_available_count_FW,0.0059783354686133204,59,0.006584879817144424,48,0.006281607642878872,0.0062742824743065645,53.5,11,0.09211168090750906,0.0062783113170213345,Availability,Away,FW,True,True,53
home_core_player_count,0.006953480473486524,49,0.0055725195630753205,55,0.006263000018280922,0.006224821762104189,52.0,6,0.1985999551845696,0.0062458198030013925,Core player strength,Home,Team-level,True,True,54
away_core_player_count,0.006810114126056125,51,0.00543408921101932,56,0.006122101668537722,0.006083318806228377,53.5,5,0.20205607271279152,0.006104649380498517,Core player strength,Away,Team-level,True,True,55
home_starter_count_MF,0.006041523546870322,58,0.0060012715444277215,53,0.006021397545649022,0.006021363910844694,55.5,5,0.006662558232261095,0.006021382409987074,Starter availability,Home,MF,True,True,56
starter_count_MFDiff,0.006774908602759924,52,0.0047819293452990175,60,0.00577841897402947,0.00569184805307173,56.0,8,0.2941706485381984,0.005739462059598488,Starter availability,Difference,MF,True,True,57
away_core_GK,0.00568334277716982,62,0.005160423543251019,57,0.005421883160210419,0.005415575303850254,59.5,5,0.09200909648092763,0.0054190446248483445,Core player strength,Away,GK,True,True,58
away_starter_count_MF,0.00566157457711482,63,0.005086064142702718,58,0.00537381935990877,0.005366109526267703,60.5,5,0.10165200980278997,0.005370349934770291,Starter availability,Away,MF,True,True,59
available_count_DFDiff,0.006160294823458022,56,0.004427917401619816,61,0.005294106112538919,0.005222765230019271,58.5,5,0.28121664165186044,0.005262002715405077,Availability,Difference,DF,True,True,60
available_count_FWDiff,0.006477952852102923,53,0.004131285872237115,64,0.00530461936217002,0.005173226758891488,58.5,11,0.362254408675422,0.005245492690694681,Availability,Difference,FW,True,True,61
home_available_count_MF,0.006052377029867822,57,0.004409175705987116,63,0.005230776367927469,0.005165848794106121,60.0,6,0.2714968541734406,0.005201558959707863,Availability,Home,MF,True,True,62
starter_count_DFRatio,0.00556736436639622,64,0.004416434256278317,62,0.004991899311337268,0.00495861862870452,63.0,2,0.20672800168509636,0.004976923004152532,Starter availability,Ratio,DF,True,True,63
home_available_count_DF,0.005059226950416618,65,0.004877392825682518,59,0.0049683098880495685,0.004967477954803791,62.0,6,0.0359410887307844,0.004967935518088969,Availability,Home,DF,True,True,64
starter_count_FWDiff,0.005813177110883721,61,0.0038496571058938144,66,0.004831417108388768,0.004730617145017423,63.5,5,0.3377705456993055,0.004786057124871663,Starter availability,Difference,FW,True,True,65
away_available_count_DF,0.004725249545663217,67,0.0036164364340795134,67,0.004170842989871365,0.004133831711264275,67.0,0,0.2346570484518347,0.004154187914498174,Availability,Away,DF,True,True,66
home_available_count_FW,0.0047812621297388174,66,0.0033174866737174123,68,0.004049374401728115,0.003982684195232941,67.0,2,0.3061483383052595,0.004019363808805286,Availability,Home,FW,True,True,67
away_starter_count_FW,0.004529631298049716,69,0.0031913713955452117,69,0.0038605013467974637,0.003802069930572318,69.0,0,0.29544565869648315,0.003834207209496148,Starter availability,Away,FW,True,True,68
home_starter_count_FW,0.004603681383326417,68,0.0028741512078385104,70,0.0037389162955824636,0.0036375371349845055,69.0,2,0.37568416045296,0.0036932956733133826,Starter availability,Home,FW,True,True,69
away_starter_count_DF,0.0032724259433569115,74,0.004083759489704515,65,0.0036780927165307132,0.0036556532248750067,69.5,9,0.19867319522441035,0.0036679949452856457,Starter availability,Away,DF,True,True,70
starter_count_DFDiff,0.0040494264204739144,71,0.002523687833020309,72,0.003286557126747112,0.0031967934228005726,71.5,1,0.37677893830579695,0.0032461634599711695,Starter availability,Difference,DF,True,True,71
available_player_countDiff,0.0037787429863872135,72,0.0025654450506360097,71,0.003172094018511612,0.003113544201075779,71.5,1,0.3210850645630217,0.0031457466006654874,Availability,Difference,Team-level,True,True,72
available_player_countRatio,0.004411726969279816,70,0.0018166787683697068,76,0.003114202868824761,0.0028310229099981995,73.0,6,0.5882159569212264,0.0029867718873528085,Availability,Ratio,Team-level,True,True,73
away_available_player_count,0.0033406741389921117,73,0.002379485673903309,73,0.00286007990644771,0.002819412395324778,73.0,0,0.2877229041497581,0.0028417795264423906,Availability,Away,Team-level,True,True,74
home_available_player_count,0.002990983668178511,75,0.0020425770766691075,75,0.0025167803724238094,0.002471702789032918,75.0,0,0.3170885222810249,0.0024964954598979084,Availability,Home,Team-level,True,True,75
home_starter_count_DF,0.0026939599188871097,76,0.0022352611203175082,74,0.002464610519602309,0.002453916026758468,75.0,2,0.17026934786731815,0.0024597979978225803,Starter availability,Home,DF,True,True,76
available_count_GKDiff,0.0013140088336100048,77,0.0006558300749995024,77,0.0009849194543047537,0.0009283138003371803,77.0,0,0.500893709216759,0.0009594469100193458,Availability,Difference,GK,True,True,77
available_count_GKRatio,0.0009473062652077033,78,0.00047972214844400175,78,0.0007135142068258525,0.0006741244668307943,78.0,0,0.4935933962826484,0.0006957888238280764,Availability,Ratio,GK,True,True,78
away_available_count_GK,0.0007839073953708029,79,0.00033401230035410125,79,0.000558959847862452,0.0005116978721788803,79.0,0,0.5739135740694127,0.0005376919588048447,Availability,Away,GK,True,True,79
home_available_count_GK,0.0006071091003952021,80,0.00012732883932780047,80,0.0003672189698615013,0.0002780332661727121,80.0,0,0.7902702508578527,0.00032708540320154617,Availability,Home,GK,True,True,80
