round_no,fixture_count,jleague_in_scope_count,out_of_scope_count,matched_count,coverage_rate,no_team_match_count,date_mismatch_count,inferred_round_date
1448,6,5,1,0,0.0,4,1,2024-04-17
1449,13,13,0,13,1.0,0,0,2024-04-27
1450,13,13,0,13,1.0,0,0,2024-05-03
1451,13,13,0,13,1.0,0,0,2024-05-06
1452,13,13,0,13,1.0,0,0,2024-05-11
1453,6,5,1,5,1.0,0,0,2024-05-08
1454,13,13,0,13,1.0,0,0,2024-05-18
1455,6,5,1,0,0.0,2,3,2024-05-15
1456,13,13,0,13,1.0,0,0,2024-05-25
1457,13,13,0,13,1.0,0,0,2024-06-01
1458,6,5,1,0,0.0,0,5,2024-06-01
1459,13,0,13,0,0.0,0,0,2024-06-06
1460,13,13,0,11,0.8461538461538461,0,2,2024-06-08
1461,13,0,13,0,0.0,0,0,2024-06-11
1462,13,13,0,13,1.0,0,0,2024-06-15
1463,13,13,0,13,1.0,0,0,2024-06-22
1464,6,5,1,5,1.0,0,0,2024-06-19
1465,13,13,0,13,1.0,0,0,2024-06-29
1466,13,13,0,13,1.0,0,0,2024-07-06
1467,13,13,0,0,0.0,8,5,2024-07-10
1468,13,13,0,13,1.0,0,0,2024-07-13
1469,13,13,0,13,1.0,0,0,2024-07-20
1470,6,5,1,5,1.0,0,0,2024-07-20
1471,13,13,0,13,1.0,0,0,2024-08-03
1472,13,13,0,13,1.0,0,0,2024-08-10
1473,13,13,0,13,1.0,0,0,2024-08-17
1474,6,5,1,0,0.0,2,3,2024-08-14
1475,13,12,1,12,1.0,0,0,2024-08-17
1476,11,11,0,11,1.0,0,0,2024-08-31
1477,5,0,5,0,0.0,0,0,2024-08-28
1478,13,13,0,13,1.0,0,0,2024-09-07
1479,13,13,0,13,1.0,0,0,2024-09-14
1481,13,13,0,13,1.0,0,0,2024-09-21
1482,4,0,4,0,0.0,0,0,2024-09-18
1483,13,13,0,13,1.0,0,0,2024-09-28
1485,13,13,0,13,1.0,0,0,2024-10-05
1486,13,13,0,11,0.8461538461538461,0,2,2024-10-09
1487,13,13,0,13,1.0,0,0,2024-10-19
1489,13,13,0,13,1.0,0,0,2024-10-26
1490,13,13,0,13,1.0,0,0,2024-11-03
1492,13,13,0,13,1.0,0,0,2024-11-09
1493,13,0,13,0,0.0,0,0,2024-11-15
1494,6,5,1,5,1.0,0,0,2024-11-09
1495,13,0,13,0,0.0,0,0,2024-11-23
1497,6,5,1,5,1.0,0,0,2024-11-23
1498,13,0,13,0,0.0,0,0,2024-11-30
1499,6,5,1,5,1.0,0,0,2024-12-01
1500,12,0,12,0,0.0,0,0,2024-12-07
1502,13,0,13,0,0.0,0,0,2024-12-14
1503,13,0,13,0,0.0,0,0,2024-12-21
1504,6,0,6,0,0.0,0,0,2024-12-21
1505,6,0,6,0,0.0,0,0,2024-12-26
1506,6,0,6,0,0.0,0,0,2024-12-29
1507,6,0,6,0,0.0,0,0,2025-01-04
1508,13,0,13,0,0.0,0,0,2025-01-15
1509,13,0,13,0,0.0,0,0,2025-01-18
1511,13,0,13,0,0.0,0,0,2025-01-25
