match_card_id,match_date,home_team,away_team,actual,home_key,away_key,rf_prob_away,rf_prob_draw,rf_prob_home,rf_prediction,lgbm_prob_away,lgbm_prob_draw,lgbm_prob_home,lgbm_prediction,prob_away,prob_draw,prob_home,ensemble_prediction,rf_hit,lgbm_hit,ensemble_hit,models_agree,date_distance,round_no,toto_match_no,fixture_home_team,fixture_away_team,fixture_actual,inferred_round_date,date_distance_days,fixture_count,jleague_in_scope_count,coverage_rate
32268,2025-04-26,柏,新潟,D,柏,新潟,0.30695174250323004,0.34016143438131263,0.3528868231154573,H,0.29311990008311345,0.46757614115266627,0.23930395876422034,D,0.3014190055351834,0.3911273170898541,0.30745367737496254,D,False,True,True,False,0,1532,8,柏,新潟,D,2025-04-25,0,13,13,1.0
31639,2025-04-26,レノファ山口FC,FC今治,A,山口,今治,0.3437188880701855,0.3032774477080628,0.3530036642217517,H,0.21519556286032343,0.32259214633381783,0.46221229080585874,H,0.2923095579862407,0.3110033271583648,0.39668711485539454,H,False,False,False,True,0,1532,9,山口,今治,A,2025-04-25,0,13,13,1.0
31631,2025-04-25,仙台,愛媛FC,D,仙台,愛媛,0.2842639892783469,0.3226632947952423,0.3930727159264108,H,0.28342149770453823,0.29418058814445025,0.42239791415101163,H,0.28392699264882343,0.3112702121349255,0.4048027952162512,H,False,False,False,True,0,1532,10,仙台,愛媛,D,2025-04-25,0,13,13,1.0
31635,2025-04-25,磐田,大分,A,磐田,大分,0.2855720895126064,0.361836530321111,0.3525913801662825,D,0.25361743950775095,0.39102754237466664,0.35535501811758247,D,0.27279022951066423,0.37351293514253325,0.3536968353468025,D,False,False,False,True,0,1532,11,磐田,大分,A,2025-04-25,0,13,13,1.0
31640,2025-04-26,徳島,富山,H,徳島,富山,0.4218307357557695,0.2596283339518517,0.3185409302923788,A,0.3958691254009099,0.223225697394663,0.3809051772044271,A,0.4114460916138257,0.2450672793289762,0.3434866290571981,A,False,False,False,True,0,1532,12,徳島,富山,H,2025-04-25,0,13,13,1.0
31638,2025-04-25,V・ファーレン長崎,いわきFC,A,長崎,いわき,0.34884562066291475,0.29593262915209395,0.35522175018499136,H,0.2474263891488647,0.4210430395841654,0.3315305712669699,D,0.3082779280572947,0.34597679332492254,0.3457452786177828,D,False,False,False,False,0,1532,13,長崎,いわき,A,2025-04-25,0,13,13,1.0
32274,2025-04-29,岡山,東京V,A,岡山,東京v,0.2842823901088323,0.347176024667452,0.3685415852237158,H,0.278772249612496,0.331649560080069,0.389578190307435,H,0.2820783339102978,0.3409654388324988,0.37695622725720346,H,False,False,False,True,0,1533,1,岡山,東京V,A,2025-04-29,0,13,13,1.0
32276,2025-04-29,湘南,福岡,D,湘南,福岡,0.31877758887956387,0.37656941344736083,0.30465299767307535,D,0.23456177760631935,0.3843386878705184,0.3810995345231624,D,0.28509126437026605,0.37967712321662384,0.33523161241311017,D,True,True,True,True,0,1533,2,湘南,福岡,D,2025-04-29,0,13,13,1.0
32278,2025-04-29,C大阪,町田,A,c大阪,町田,0.31637860603475076,0.34569938618595225,0.33792200777929693,D,0.3157413778559085,0.3205615602770216,0.3636970618670699,H,0.3161237147632139,0.33564425582238,0.3482320294144061,H,False,False,False,False,0,1533,3,C大阪,町田,A,2025-04-29,0,13,13,1.0
31641,2025-04-29,札幌,V・ファーレン長崎,D,札幌,長崎,0.33724282120293736,0.38131762964595606,0.28143954915110664,D,0.2773643962048593,0.4255434317843538,0.2970921720107868,D,0.31329145120370616,0.3990079505013151,0.2877005982949787,D,True,True,True,True,0,1533,4,札幌,長崎,D,2025-04-29,0,13,13,1.0
