round_no,match_no,home_team,away_team,reason,kickoff_at,date_distance_days,closest_prediction_date
1498,5,ノッティン,イプス,out_of_v6_jleague_scope,2024-12-01,,
1498,6,ライプツィ,ヴォルフス,out_of_v6_jleague_scope,2024-11-30,,
1498,7,ウニオン,レヴァー,out_of_v6_jleague_scope,2024-11-30,,
1498,8,ハイデンハ,フランクフル,out_of_v6_jleague_scope,2024-12-02,,
1498,9,リヴァプ,マンC,out_of_v6_jleague_scope,2024-12-02,,
1498,10,クリスタル,ニュカッスル,out_of_v6_jleague_scope,2024-12-01,,
1498,11,ウェストハム,アーセナル,out_of_v6_jleague_scope,2024-12-01,,
1498,12,チェルシー,アストン,out_of_v6_jleague_scope,2024-12-01,,
1498,13,ノッティン,イプス,out_of_v6_jleague_scope,2024-12-01,,
1499,6,磐田,0,out_of_v6_jleague_scope,2024-12-01,,
1500,1,バイエルン,ハイデンハ,out_of_v6_jleague_scope,2024-12-07,,
1500,2,フラム,アーセナル,out_of_v6_jleague_scope,2024-12-08,,
1500,3,レスター,ブライトン,out_of_v6_jleague_scope,2024-12-08,,
1500,4,クリスタル,マンC,out_of_v6_jleague_scope,2024-12-08,,
1500,5,アストン,サウザン,out_of_v6_jleague_scope,2024-12-08,,
1500,6,レヴァー,パウリ,out_of_v6_jleague_scope,2024-12-07,,
1500,7,ボーフム,ブレーメン,out_of_v6_jleague_scope,2024-12-07,,
1500,8,ホルスタイン,ライプツィ,out_of_v6_jleague_scope,2024-12-07,,
1500,10,フラム,アーセナル,out_of_v6_jleague_scope,2024-12-08,,
1500,11,レスター,ブライトン,out_of_v6_jleague_scope,2024-12-08,,
1500,12,クリスタル,マンC,out_of_v6_jleague_scope,2024-12-08,,
1500,13,アストン,サウザン,out_of_v6_jleague_scope,2024-12-08,,
1502,1,ブライトン,クリスタル,out_of_v6_jleague_scope,2024-12-15,,
1502,2,アーセナル,エヴァトン,out_of_v6_jleague_scope,2024-12-15,,
1502,3,リヴァプ,フラム,out_of_v6_jleague_scope,2024-12-15,,
1502,4,サウザン,トテナム,out_of_v6_jleague_scope,2024-12-16,,
1502,5,マンC,マンU,out_of_v6_jleague_scope,2024-12-16,,
1502,6,ウニオン,ボーフム,out_of_v6_jleague_scope,2024-12-14,,
1502,7,パウリ,ブレーメン,out_of_v6_jleague_scope,2024-12-15,,
1502,8,ドルト,ホッフェン,out_of_v6_jleague_scope,2024-12-16,,
1502,9,ブライトン,クリスタル,out_of_v6_jleague_scope,2024-12-15,,
1502,10,アーセナル,エヴァトン,out_of_v6_jleague_scope,2024-12-15,,
1502,11,リヴァプ,フラム,out_of_v6_jleague_scope,2024-12-15,,
1502,12,サウザン,トテナム,out_of_v6_jleague_scope,2024-12-16,,
1502,13,マンC,マンU,out_of_v6_jleague_scope,2024-12-16,,
1503,1,クリスタル,アーセナル,out_of_v6_jleague_scope,2024-12-22,,
1503,2,ウェストハム,ブライトン,out_of_v6_jleague_scope,2024-12-22,,
1503,3,トテナム,リヴァプ,out_of_v6_jleague_scope,2024-12-23,,
1503,4,フラム,サウザン,out_of_v6_jleague_scope,2024-12-22,,
1503,5,アストン,マンC,out_of_v6_jleague_scope,2024-12-21,,
1503,6,シュツット,パウリ,out_of_v6_jleague_scope,2024-12-21,,
