strategy,window,test_from,test_to,rows,accuracy,macro_f1,weighted_f1,log_loss,away_precision,away_recall,away_f1,draw_precision,draw_recall,draw_f1,home_precision,home_recall,home_f1,predicted_away,predicted_draw,predicted_home
lgbm_100,12,2024-09-21,2024-12-08,257,0.3735408560311284,0.34748663101604277,0.36434323287150017,1.0841448566869514,0.3473684210526316,0.4125,0.37714285714285717,0.25,0.16901408450704225,0.20168067226890757,0.4473684210526316,0.4811320754716981,0.4636363636363636,95,48,114
lgbm_100,13,2025-02-14,2025-03-16,154,0.38961038961038963,0.3888222962140831,0.3930872383258621,1.1318236556928698,0.3728813559322034,0.5116279069767442,0.43137254901960786,0.2807017543859649,0.37209302325581395,0.32,0.5789473684210527,0.3235294117647059,0.41509433962264153,59,57,38
lgbm_100,14,2025-03-23,2025-06-15,394,0.41116751269035534,0.3922108788418949,0.40207553424524567,1.1068157674342343,0.40476190476190477,0.2833333333333333,0.3333333333333333,0.37142857142857144,0.33620689655172414,0.35294117647058826,0.43414634146341463,0.5632911392405063,0.4903581267217631,84,105,205
lgbm_100,15,2025-06-21,2025-09-14,300,0.3566666666666667,0.34339220155355243,0.3608882335936745,1.1356850055482064,0.323943661971831,0.23469387755102042,0.27218934911242604,0.23931623931623933,0.4117647058823529,0.3027027027027027,0.5,0.417910447761194,0.45528455284552843,71,117,112
lgbm_100,16,2025-09-15,2025-12-06,292,0.4006849315068493,0.3876566285195215,0.4068130461104208,1.0900613915029158,0.45,0.36363636363636365,0.4022346368715084,0.25,0.359375,0.2948717948717949,0.48333333333333334,0.4496124031007752,0.46586345381526106,80,92,120
fixed_rf60_lgbm40,1,2022-02-18,2022-04-03,178,0.29213483146067415,0.2848226263456344,0.28798516343947456,1.1671481465137648,0.21818181818181817,0.21428571428571427,0.21621621621621623,0.2978723404255319,0.23728813559322035,0.2641509433962264,0.34210526315789475,0.4126984126984127,0.37410071942446044,55,47,76
fixed_rf60_lgbm40,2,2022-04-05,2022-07-02,388,0.3479381443298969,0.32943291865373786,0.34653188625705683,1.135857943653322,0.2971014492753623,0.3504273504273504,0.3215686274509804,0.25287356321839083,0.21153846153846154,0.23036649214659685,0.44171779141104295,0.4311377245508982,0.43636363636363634,138,87,163
fixed_rf60_lgbm40,3,2022-07-03,2022-09-25,349,0.3982808022922636,0.3639584856054048,0.3841946742243637,1.0916555670485493,0.38,0.3247863247863248,0.35023041474654376,0.2727272727272727,0.1978021978021978,0.22929936305732485,0.453551912568306,0.5886524822695035,0.5123456790123457,100,66,183
fixed_rf60_lgbm40,4,2022-10-01,2022-11-20,159,0.37735849056603776,0.3509706094399534,0.3719427402922173,1.0936670702049571,0.35185185185185186,0.3275862068965517,0.3392857142857143,0.25806451612903225,0.2222222222222222,0.23880597014925373,0.44594594594594594,0.5076923076923077,0.4748201438848921,54,31,74
fixed_rf60_lgbm40,5,2023-02-17,2023-03-29,151,0.423841059602649,0.4148807594663209,0.42071787392643006,1.0862387644621878,0.4318181818181818,0.36538461538461536,0.3958333333333333,0.35714285714285715,0.3488372093023256,0.35294117647058826,0.46153846153846156,0.5357142857142857,0.49586776859504134,44,42,65
